Country;Economic status1;Coastal population2;Waste generation rate [kg/person/day]3;% Plastic in waste stream4;% Inadequately managed waste5;% Littered waste6;Waste generation [kg/day]7;Plastic waste generation [kg/day]7;Inadequately managed plastic waste [kg/day]7;"Plastic waste littered
 [kg/day]7";Mismanaged plastic waste [kg/person/day]7;"Mismanaged plastic waste in 2010
 [tonnes]7";"Mismanaged plastic waste in 2025
 [tonnes]7";Per capita plastic waste (kilograms per person per day)
India;LMI;187.493.433;0.34;3;85;2;63.747.767;1.880.559;1.605.729;37.611;9,000;599.819;2.881.294;0.01
Indonesia;LMI;187.223.476;0.52;11;81;2;97.356.208;10.660.505;8.600.093;213.210;47,000;3.216.856;7.415.202;57
Iran;UMI;9.099.695;1.2;12;50;2;10.919.634;1.304.896;651.717;26.098;74,000;247.403;460.067;144
Iraq;LMI;639.228;0.79;13;63;2;504.990;65.396;41.330;1.308;67,000;15.563;47.694;103
Ireland;HIC;3.749.576;3.58;12;0;2;13.423.482;1.604.106;0;32.082;9,000;11.710;14.045;0.43
Israel;HIC;6.677.810;2.12;14;1;2;14.156.957;1.974.896;12.577;39.498;8,000;19.007;28.211;297
Italy;HIC;33.822.532;2.23;6;0;2;75.424.246;4.487.743;0;89.755;3,000;32.761;45.058;134
Jamaica;UMI;2.820.558;0.18;19;27;2;507.700;96.209;25.525;1.924;10,000;10.019;59.575;34
Japan;HIC;115.228.891;1.71;10;0;2;197.041.404;19.605.620;0;392.112;3,000;143.121;177.241;171
Jordan;UMI;55.392;1.2;12;58;2;66.470;7.943;4.600;159;86,000;1.737;2.975;144
Kenya;LI;2.729.945;0.3;9;83;2;818.984;73.299;60.610;1.466;23,000;22.658;87.109;27
Kiribati;LMI;94.487;0.79;13;84;2;74.645;9.666;8.148;193;88,000;3.045;6.977;103
Kuwait;HIC;2.293.604;5.72;12;0;2;13.119.415;1.567.770;122;31.355;14,000;11.489;13.479;686
Latvia;UMI;1.432.078;1.03;12;14;2;1.475.040;176.267;24.651;3.525;20,000;10.284;16.654;124
Lebanon;UMI;3.890.871;1.18;8;34;2;4.591.228;365.003;123.700;7.300;34,000;47.815;101.852;94
Liberia;LI;2.148.271;0.6;14;84;2;1.288.963;179.810;151.822;3.596;72,000;56.728;142.787;84
Libya;UMI;4.050.128;1.2;12;23;2;4.860.154;580.788;132.985;11.616;36,000;52.779;102.577;144
Lithuania;UMI;443.894;1.1;12;14;2;488.283;58.350;8.364;1.167;21,000;3.479;5.478;132
Macao;HIC;257.911;1.47;25;0;2;379.129;94.593;22;1.892;7,000;698;1.146;368
Madagascar;LI;7.062.413;0.8;2;84;2;5.649.930;110.174;92.377;2.203;13,000;34.522;177.625;16
Malaysia;UMI;22.890.252;1.52;13;55;2;34.793.183;4.505.717;2.476.510;90.114;112,000;936.818;1.765.977;198
Maldives;LMI;392.567;2.48;13;66;2;973.566;126.077;83.695;2.522;220,000;31.469;40.143;322
Malta;HIC;404.707;1.78;12;6;2;720.378;86.085;5.456;1.722;18,000;2.620;3.757;214
